                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.6922,                 2.1587,                 1.0185,                0.97105,                0.80795,                0.80609,                0.84335,                0.50195,                0.76943,                 0.7036,                0.73732,                0.33321,                 1.3339,                 1.5647,                 0.8078,                0.90934,              0.0019714,              0.0019714,              0.0019714
                     25,                 1.6296,                  2.124,                0.96975,                0.96565,                0.81477,                0.80609,                0.85203,                0.49853,                0.78377,                0.72299,                0.76421,                0.34593,                 1.3344,                 1.5398,                0.82477,                0.91105,              0.0019689,              0.0019689,              0.0019689
                     26,                 1.6443,                 2.1204,                0.95538,                0.95879,                0.81201,                0.81717,                0.84923,                 0.4712,                0.73555,                0.69343,                 0.7082,                0.26634,                 1.4707,                 1.6909,                0.85386,                0.91994,              0.0019663,              0.0019663,              0.0019663
                     27,                 1.6978,                  2.148,                0.99077,                0.96787,                0.78925,                 0.8299,                0.85091,                0.48824,                0.73107,                0.68525,                0.70352,                0.26582,                 1.3945,                 1.7586,                0.83541,                 0.9113,              0.0019635,              0.0019635,              0.0019635
                     28,                 1.5333,                  1.912,                0.92673,                0.93622,                0.76998,                0.84765,                0.84249,                0.48494,                0.78701,                0.78815,                0.80267,                0.38747,                 1.3625,                 1.5236,                0.78823,                0.90657,              0.0019607,              0.0019607,              0.0019607
                     29,                 1.6218,                 1.9894,                0.94432,                0.95274,                0.79631,                0.81163,                0.84765,                0.47984,                0.78331,                0.76101,                0.79561,                0.38623,                 1.3957,                 1.4935,                0.79077,                0.92031,              0.0019577,              0.0019577,              0.0019577
                     30,                 1.6268,                 1.8963,                0.93533,                0.95172,                0.79631,                0.81163,                0.84765,                0.47984,                0.78331,                0.76101,                0.79561,                0.38623,                 1.3957,                 1.4935,                0.79077,                0.92031,              0.0019547,              0.0019547,              0.0019547
                     31,                 1.6402,                 1.9957,                0.96063,                0.95715,                0.77514,                 0.8403,                0.85745,                0.48625,                0.70764,                0.66378,                 0.7045,                0.29024,                 1.3923,                 1.5704,                0.79825,                0.91345,              0.0019515,              0.0019515,              0.0019515
                     32,                 1.6414,                 1.8666,                0.94715,                0.94762,                0.79212,                0.83657,                0.85706,                 0.4945,                0.77542,                0.62604,                0.71957,                0.29215,                 1.3968,                 1.5696,                0.79392,                0.91412,              0.0019483,              0.0019483,              0.0019483
                     33,                 1.5832,                 1.9462,                 0.9526,                0.95881,                0.79981,                0.83657,                 0.8636,                0.51217,                0.73667,                0.74792,                 0.7708,                0.33082,                 1.3065,                 1.5578,                0.78082,                0.89841,              0.0019449,              0.0019449,              0.0019449
                     34,                 1.5565,                 1.8638,                0.92142,                0.95582,                0.78058,                0.83763,                0.85812,                0.49523,                0.72918,                0.75346,                0.76525,                 0.3477,                 1.3442,                 1.5537,                 0.8005,                0.90735,              0.0019415,              0.0019415,              0.0019415
                     35,                 1.6374,                 1.9004,                0.92453,                0.95822,                0.78103,                0.80886,                0.84607,                0.48497,                  0.751,                0.69346,                0.74062,                0.33313,                 1.4333,                 1.5324,                0.80925,                0.92077,              0.0019379,              0.0019379,              0.0019379
                     36,                 1.6933,                 2.0943,                0.99189,                 1.0034,                0.80118,                0.87067,                0.88177,                0.52494,                0.72011,                0.73961,                 0.7579,                0.36694,                 1.2798,                 1.4898,                0.76551,                 0.8962,              0.0019342,              0.0019342,              0.0019342
                     37,                 1.5037,                 1.8679,                0.88955,                0.94146,                0.82171,                 0.8144,                0.87337,                0.50989,                 0.7576,                0.65928,                0.73412,                0.33118,                 1.3299,                  1.485,                0.79546,                0.90319,              0.0019305,              0.0019305,              0.0019305
                     38,                 1.6297,                 1.9317,                0.92324,                0.97195,                0.82171,                 0.8144,                0.87337,                0.50989,                 0.7576,                0.65928,                0.73412,                0.33118,                 1.3299,                  1.485,                0.79546,                0.90319,              0.0019266,              0.0019266,              0.0019266
                     39,                 1.6076,                 2.0759,                0.91734,                0.97563,                0.81678,                0.85319,                0.88519,                0.53037,                0.72943,                0.72439,                0.74563,                0.32045,                 1.3047,                 1.4839,                0.76696,                0.89673,              0.0019226,              0.0019226,              0.0019226
                     40,                 1.5134,                 1.8075,                0.86472,                0.93489,                0.81752,                0.86427,                0.87442,                0.52355,                0.73314,                0.77562,                0.77988,                0.35356,                 1.2844,                 1.4758,                 0.7481,                0.88935,              0.0019186,              0.0019186,              0.0019186
                     41,                 1.5279,                 1.8856,                0.89098,                0.94918,                0.81724,                0.87946,                 0.8826,                0.51814,                0.73202,                 0.7867,                0.77919,                0.36018,                 1.3075,                 1.5152,                0.75226,                0.89757,              0.0019144,              0.0019144,              0.0019144
                     42,                 1.4363,                 1.6928,                 0.8688,                0.93042,                0.80469,                0.85596,                0.88446,                0.53694,                0.79214,                0.75346,                0.80121,                0.37203,                 1.2458,                 1.4587,                0.73809,                0.88998,              0.0019101,              0.0019101,              0.0019101
                     43,                 1.5211,                 1.8281,                0.87536,                0.92585,                0.80538,                 0.8338,                0.88247,                0.54893,                0.76088,                0.71745,                 0.7688,                0.35779,                 1.2074,                 1.4418,                0.72938,                0.88552,              0.0019058,              0.0019058,              0.0019058
                     44,                 1.5068,                 1.9543,                0.90802,                0.95138,                0.83102,                0.84211,                0.88611,                0.52296,                0.77308,                0.67313,                0.74636,                0.31109,                 1.3057,                  1.546,                0.75164,                0.89426,              0.0019013,              0.0019013,              0.0019013
                     45,                 1.5075,                 1.8411,                0.89082,                0.93721,                0.84675,                0.83102,                0.87965,                0.52885,                0.77677,                0.69529,                0.74816,                0.31375,                 1.2764,                 1.5965,                  0.752,                 0.8905,              0.0018968,              0.0018968,              0.0018968
                     46,                 1.4426,                   1.88,                0.88363,                0.95379,                0.84675,                0.83102,                0.87965,                0.52885,                0.77677,                0.69529,                0.74816,                0.31375,                 1.2764,                 1.5965,                  0.752,                 0.8905,              0.0018921,              0.0018921,              0.0018921
                     47,                 1.5763,                 1.8916,                0.89956,                0.94804,                0.82963,                0.85042,                0.87401,                0.53744,                0.77986,                0.72022,                0.77571,                0.36497,                 1.2637,                 1.4728,                0.74968,                0.89152,              0.0018873,              0.0018873,              0.0018873
                     48,                 1.5603,                 1.9363,                0.86799,                0.95307,                0.81693,                 0.8338,                0.88066,                0.53909,                 0.7644,                0.72022,                 0.7744,                0.35619,                 1.2796,                 1.5163,                0.74715,                0.89692,              0.0018825,              0.0018825,              0.0018825
                     49,                 1.6334,                 2.0797,                0.94207,                0.95977,                 0.8632,                0.82151,                0.89096,                0.51678,                0.74628,                 0.6759,                0.72404,                0.29843,                 1.3137,                 1.5707,                0.73982,                0.90087,              0.0018775,              0.0018775,              0.0018775
                     50,                 1.4097,                 1.7395,                0.84764,                0.91982,                 0.8716,                 0.8144,                0.89503,                0.52253,                0.75093,                0.67649,                0.71943,                0.29308,                 1.3136,                 1.5178,                0.74148,                0.90187,              0.0018725,              0.0018725,              0.0018725
                     51,                  1.436,                 1.7218,                0.83902,                0.91751,                0.86061,                0.81717,                0.88681,                0.55453,                0.76567,                0.70083,                0.74245,                0.32513,                 1.2113,                 1.5402,                0.72932,                0.89138,              0.0018674,              0.0018674,              0.0018674
                     52,                  1.405,                 1.8647,                0.84628,                 0.9269,                0.85842,                0.81717,                0.88891,                0.55359,                0.77382,                0.72576,                0.77283,                0.36011,                 1.2295,                 1.4466,                0.71791,                 0.8929,              0.0018621,              0.0018621,              0.0018621
                     53,                 1.4169,                 1.7558,                0.82145,                0.92092,                 0.8456,                0.83441,                0.89427,                0.54092,                0.75069,                0.71732,                0.77805,                0.35082,                 1.2646,                 1.5397,                0.71769,                0.89738,              0.0018568,              0.0018568,              0.0018568
                     54,                 1.4555,                 1.8763,                0.85837,                0.93902,                 0.8456,                0.83441,                0.89427,                0.54092,                0.75069,                0.71732,                0.77805,                0.35082,                 1.2646,                 1.5397,                0.71769,                0.89738,              0.0018514,              0.0018514,              0.0018514
                     55,                 1.4171,                 1.7317,                0.83954,                0.92929,                0.84086,                0.83657,                0.89099,                0.53956,                0.79647,                0.62873,                0.72383,                 0.3066,                 1.2686,                 1.5686,                0.73606,                0.90079,              0.0018459,              0.0018459,              0.0018459
                     56,                 1.5048,                 1.8494,                0.86345,                0.92973,                 0.8281,                 0.8407,                0.89754,                0.56167,                0.78213,                0.71601,                0.78035,                0.35985,                 1.1984,                 1.4288,                0.70411,                0.89191,              0.0018403,              0.0018403,              0.0018403
                     57,                 1.4761,                 1.8649,                0.86508,                0.93281,                0.81706,                0.85369,                0.89486,                0.54298,                0.78997,                0.79224,                0.81446,                0.40412,                 1.2214,                 1.3711,                0.70186,                0.88695,              0.0018346,              0.0018346,              0.0018346
                     58,                 1.4803,                 1.7783,                0.84905,                0.92721,                0.83288,                0.85591,                0.89562,                0.52789,                0.80094,                0.75791,                0.81109,                0.39981,                 1.2617,                 1.3871,                0.71542,                0.88903,              0.0018288,              0.0018288,              0.0018288
                     59,                 1.4246,                 1.8255,                0.85954,                0.92734,                0.84455,                 0.8338,                0.89749,                0.53954,                0.76088,                0.73684,                0.77425,                0.32676,                 1.2717,                 1.5682,                0.71772,                0.89707,              0.0018229,              0.0018229,              0.0018229
                     60,                 1.3904,                 1.8002,                 0.8306,                0.91677,                0.81398,                0.87258,                0.90056,                0.55453,                0.77531,                0.71468,                0.77802,                0.34327,                 1.2373,                 1.5283,                0.69571,                0.89382,               0.001817,               0.001817,               0.001817
