                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.3796,                 1.7096,                0.70182,                0.87834,                0.88462,                0.84149,                0.92056,                0.55409,                0.72362,                0.72524,                0.75887,                0.32096,                 1.2612,                 1.5416,                0.64154,                0.86192,              0.0018482,              0.0018482,              0.0018482
                     25,                 1.3559,                 1.7245,                0.69531,                0.87502,                0.86121,                0.88153,                0.92137,                0.54322,                0.71772,                0.68659,                0.71795,                0.28452,                 1.2693,                 1.4129,                0.65163,                0.86102,              0.0018416,              0.0018416,              0.0018416
                     26,                   1.38,                 1.6816,                0.68958,                0.87314,                0.86724,                0.89373,                0.92919,                 0.5639,                0.78712,                0.79268,                0.82663,                0.36386,                 1.1874,                 1.3979,                0.63094,                0.85159,               0.001835,               0.001835,               0.001835
                     27,                 1.3453,                 1.6163,                0.68243,                0.87332,                0.82704,                0.89136,                0.92182,                0.55296,                0.76982,                0.68293,                0.76276,                0.30607,                 1.2631,                  1.353,                0.64105,                0.85803,              0.0018284,              0.0018284,              0.0018284
                     28,                 1.3705,                 1.6509,                0.68906,                 0.8783,                 0.8265,                 0.8676,                0.91349,                0.53394,                0.77918,                0.61498,                 0.7175,                0.27413,                 1.3107,                 1.4645,                0.65197,                0.86285,              0.0018218,              0.0018218,              0.0018218
                     29,                 1.3386,                 1.6339,                0.67881,                0.87569,                0.90125,                0.84669,                0.92154,                0.56999,                0.78146,                0.74758,                0.80957,                0.35194,                 1.1933,                  1.426,                0.63056,                0.85601,              0.0018152,              0.0018152,              0.0018152
                     30,                 1.3368,                 1.6036,                0.67834,                0.87042,                 0.8681,                0.88292,                 0.9166,                0.55685,                 0.7743,                0.73519,                0.74713,                0.32313,                 1.2142,                 1.4352,                0.63169,                0.85923,              0.0018086,              0.0018086,              0.0018086
                     31,                 1.3216,                 1.5862,                 0.6743,                0.87095,                0.86198,                0.85714,                0.91987,                  0.546,                0.74359,                0.73762,                0.77993,                0.32119,                 1.2706,                 1.4746,                0.63554,                0.85947,               0.001802,               0.001802,               0.001802
                     32,                 1.3548,                 1.6164,                0.68083,                0.87137,                0.85729,                0.84771,                0.91489,                0.52588,                0.69683,                0.71429,                0.73511,                0.29348,                   1.32,                 1.4324,                0.64183,                0.86324,              0.0017954,              0.0017954,              0.0017954
                     33,                 1.3397,                 1.5872,                0.66848,                0.86396,                0.89689,                0.85714,                0.92216,                0.57369,                0.81668,                0.78049,                0.84061,                0.38818,                 1.1797,                 1.3803,                0.62691,                0.85087,              0.0017888,              0.0017888,              0.0017888
                     34,                 1.3275,                 1.5915,                0.67287,                0.86312,                0.86149,                0.89547,                0.92284,                0.56899,                0.82967,                0.74564,                0.82862,                 0.3871,                 1.2007,                 1.3919,                 0.6123,                0.86166,              0.0017822,              0.0017822,              0.0017822
                     35,                 1.3079,                    1.6,                0.64802,                0.87074,                0.87601,                 0.8676,                0.93282,                0.56351,                0.78058,                0.72474,                0.77857,                0.29979,                 1.2537,                 1.4438,                0.62161,                0.85898,              0.0017756,              0.0017756,              0.0017756
                     36,                 1.3416,                 1.6261,                0.66588,                0.86768,                0.89836,                0.83275,                0.92581,                 0.5643,                0.75436,                0.70035,                 0.7678,                0.33429,                 1.2292,                 1.4928,                0.61343,                0.85988,               0.001769,               0.001769,               0.001769
                     37,                  1.324,                 1.6198,                0.65151,                0.86721,                0.85323,                0.87101,                0.92501,                0.56314,                0.75003,                0.74216,                0.79313,                0.32845,                 1.2346,                 1.5592,                 0.6277,                0.85852,              0.0017624,              0.0017624,              0.0017624
                     38,                 1.2942,                  1.589,                 0.6521,                0.86515,                0.87066,                0.87953,                0.93401,                0.55063,                0.72337,                0.71522,                0.73414,                0.28776,                 1.2737,                  1.441,                0.63415,                0.86513,              0.0017558,              0.0017558,              0.0017558
