                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                  2.156,                  3.331,                 1.4025,                0.96116,                0.16833,                0.64744,                0.28045,                0.10962,                0.13333,                0.51282,                0.22472,                 0.0788,                 2.0238,                 3.2311,                 2.8293,                0.91733,              0.0018729,              0.0018729,              0.0018729
                     25,                  2.184,                 3.4318,                 1.3742,                0.96532,                0.16833,                0.64744,                0.28045,                0.10962,                0.13333,                0.51282,                0.22472,                 0.0788,                 2.0238,                 3.2311,                 2.8293,                0.91733,              0.0019492,              0.0019492,              0.0019492
                     26,                 2.1067,                 2.6759,                  1.339,                0.96355,                    0.2,                0.76923,                 0.6128,                0.29515,                  0.205,                0.78846,                0.60014,                0.27344,                 1.9548,                 2.3802,                 2.1517,                0.93086,              0.0019663,              0.0019663,              0.0019663
                     27,                  1.967,                 2.0469,                 1.2935,                0.93763,                    0.2,                0.76923,                 0.6128,                0.29515,                  0.205,                0.78846,                0.60014,                0.27344,                 1.9548,                 2.3802,                 2.1517,                0.93086,              0.0019635,              0.0019635,              0.0019635
                     28,                 2.1718,                 2.6144,                 1.3861,                 0.9785,                    0.2,                0.76923,                 0.6128,                0.29515,                  0.205,                0.78846,                0.60014,                0.27344,                 1.9548,                 2.3802,                 2.1517,                0.93086,              0.0019607,              0.0019607,              0.0019607
                     29,                 2.0656,                 2.3241,                 1.4774,                0.94098,                    0.2,                0.76923,                 0.6128,                0.29515,                  0.205,                0.78846,                0.60014,                0.27344,                 1.9548,                 2.3802,                 2.1517,                0.93086,              0.0019577,              0.0019577,              0.0019577
                     30,                 2.1842,                 2.4168,                  1.328,                0.96053,                0.84213,                0.37615,                0.65842,                  0.327,                0.84213,                0.37615,                0.64509,                0.31134,                 1.7582,                 2.0075,                 1.8568,                 0.9241,              0.0019547,              0.0019547,              0.0019547
                     31,                 1.9354,                 2.0959,                 1.2454,                0.95504,                0.84213,                0.37615,                0.65842,                  0.327,                0.84213,                0.37615,                0.64509,                0.31134,                 1.7582,                 2.0075,                 1.8568,                 0.9241,              0.0019515,              0.0019515,              0.0019515
                     32,                 1.9975,                 2.2282,                 1.4166,                 0.9528,                0.84213,                0.37615,                0.65842,                  0.327,                0.84213,                0.37615,                0.64509,                0.31134,                 1.7582,                 2.0075,                 1.8568,                 0.9241,              0.0019483,              0.0019483,              0.0019483
                     33,                 2.1913,                 2.4502,                 1.3123,                0.96351,                0.84213,                0.37615,                0.65842,                  0.327,                0.84213,                0.37615,                0.64509,                0.31134,                 1.7582,                 2.0075,                 1.8568,                 0.9241,              0.0019449,              0.0019449,              0.0019449
                     34,                 1.9813,                 2.1523,                 1.2575,                0.95023,                0.15167,                0.58333,                0.33363,                 0.1648,                0.12667,                0.48718,                0.27757,                0.11704,                 1.9836,                 2.1558,                 2.5631,                0.96598,              0.0019415,              0.0019415,              0.0019415
                     35,                 2.1256,                 2.4274,                 1.5485,                0.97501,                0.15167,                0.58333,                0.33363,                 0.1648,                0.12667,                0.48718,                0.27757,                0.11704,                 1.9836,                 2.1558,                 2.5631,                0.96598,              0.0019379,              0.0019379,              0.0019379
                     36,                 2.0604,                 2.4373,                 1.3652,                0.97456,                0.15167,                0.58333,                0.33363,                 0.1648,                0.12667,                0.48718,                0.27757,                0.11704,                 1.9836,                 2.1558,                 2.5631,                0.96598,              0.0019342,              0.0019342,              0.0019342
                     37,                 2.0962,                 2.2072,                 1.3104,                0.94721,                0.15167,                0.58333,                0.33363,                 0.1648,                0.12667,                0.48718,                0.27757,                0.11704,                 1.9836,                 2.1558,                 2.5631,                0.96598,              0.0019305,              0.0019305,              0.0019305
                     38,                 1.9225,                 2.0787,                 1.7829,                0.94279,                0.12333,                0.47436,                0.18687,                0.09097,                0.11667,                0.44872,                0.17603,                0.08703,                 1.9303,                 2.1137,                 2.3988,                0.97784,              0.0019266,              0.0019266,              0.0019266
                     39,                 2.0869,                 2.4074,                  1.171,                0.97139,                0.12333,                0.47436,                0.18687,                0.09097,                0.11667,                0.44872,                0.17603,                0.08703,                 1.9303,                 2.1137,                 2.3988,                0.97784,              0.0019226,              0.0019226,              0.0019226
                     40,                 1.8884,                 2.0608,                 1.1735,                0.95723,                0.12333,                0.47436,                0.18687,                0.09097,                0.11667,                0.44872,                0.17603,                0.08703,                 1.9303,                 2.1137,                 2.3988,                0.97784,              0.0019186,              0.0019186,              0.0019186
                     41,                  1.877,                 1.9606,                 1.1481,                0.94545,                0.12333,                0.47436,                0.18687,                0.09097,                0.11667,                0.44872,                0.17603,                0.08703,                 1.9303,                 2.1137,                 2.3988,                0.97784,              0.0019144,              0.0019144,              0.0019144
                     42,                 2.1194,                 2.3197,                 1.2367,                0.94842,                0.59271,                0.69031,                0.64433,                0.29414,                0.59409,                0.65675,                0.59944,                0.26589,                 1.7707,                 2.0397,                 1.3153,                0.91811,              0.0019101,              0.0019101,              0.0019101
                     43,                  2.125,                 2.4586,                  1.263,                0.96854,                0.59271,                0.69031,                0.64433,                0.29414,                0.59409,                0.65675,                0.59944,                0.26589,                 1.7707,                 2.0397,                 1.3153,                0.91811,              0.0019058,              0.0019058,              0.0019058
                     44,                 2.0288,                 2.3603,                 1.2408,                0.98603,                0.59271,                0.69031,                0.64433,                0.29414,                0.59409,                0.65675,                0.59944,                0.26589,                 1.7707,                 2.0397,                 1.3153,                0.91811,              0.0019013,              0.0019013,              0.0019013
                     45,                 2.1266,                 2.4205,                 1.1704,                0.97474,                0.59271,                0.69031,                0.64433,                0.29414,                0.59409,                0.65675,                0.59944,                0.26589,                 1.7707,                 2.0397,                 1.3153,                0.91811,              0.0018968,              0.0018968,              0.0018968
