                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.4693,                 1.8371,                0.80779,                0.89296,                0.81928,                0.77564,                 0.8463,                0.51818,                0.76485,                0.70893,                0.75935,                 0.3554,                 1.3134,                 1.6252,                0.78984,                0.88825,              0.0018482,              0.0018482,              0.0018482
                     25,                  1.435,                 1.7261,                0.78589,                0.88262,                0.83609,                0.76282,                 0.8552,                0.53156,                 0.7885,                0.71697,                0.77971,                0.34219,                 1.2892,                 1.6375,                0.76476,                0.88314,              0.0018416,              0.0018416,              0.0018416
                     26,                   1.42,                 1.6964,                0.78409,                0.88707,                0.87166,                0.76923,                0.87346,                0.56899,                0.81714,                0.71614,                0.79386,                0.34649,                 1.2258,                 1.5767,                0.73323,                0.87992,               0.001835,               0.001835,               0.001835
                     27,                 1.4339,                 1.6948,                0.76712,                0.88861,                0.84749,                0.78366,                0.87644,                0.52612,                0.83229,                0.66807,                0.77032,                0.32651,                 1.3331,                  1.528,                0.73233,                0.89239,              0.0018284,              0.0018284,              0.0018284
                     28,                 1.3947,                 1.7385,                0.77028,                0.88528,                0.84957,                0.78205,                0.85661,                0.53518,                0.84772,                0.69872,                0.79349,                0.37754,                 1.2693,                  1.628,                0.71988,                0.88314,              0.0018218,              0.0018218,              0.0018218
                     29,                 1.3765,                 1.6622,                0.73742,                0.87516,                0.86449,                0.78205,                0.86171,                0.54026,                0.82306,                0.68584,                0.75386,                0.35449,                 1.2195,                 1.5913,                0.71185,                0.88017,              0.0018152,              0.0018152,              0.0018152
                     30,                 1.3429,                 1.6255,                0.73525,                0.88392,                0.84648,                 0.7776,                0.84854,                0.52374,                0.80408,                0.71154,                0.75379,                0.35428,                 1.2757,                 1.6391,                0.71476,                0.88817,              0.0018086,              0.0018086,              0.0018086
                     31,                 1.3967,                 1.7429,                0.74892,                0.88847,                0.86666,                0.74993,                0.85095,                0.54062,                0.80224,                0.67308,                   0.74,                0.36318,                 1.2295,                 1.5234,                0.71272,                0.88256,               0.001802,               0.001802,               0.001802
                     32,                 1.3663,                 1.6478,                0.73198,                 0.8715,                0.87951,                0.78846,                0.87518,                0.57329,                0.83392,                0.74359,                0.79694,                0.38539,                 1.1473,                 1.4454,                0.68711,                0.87217,              0.0017954,              0.0017954,              0.0017954
                     33,                 1.3816,                 1.7285,                0.75715,                0.88136,                0.88227,                0.76865,                 0.8711,                0.55285,                 0.8055,                0.71154,                0.77722,                0.37421,                  1.215,                 1.5844,                0.68558,                0.87922,              0.0017888,              0.0017888,              0.0017888
